sample_id,chip_id,source_script,source_segment,generation_date,dataset_version,physics_model,validation_status,silicon_validated,w_um,l_um,k_pairs,pelgrom_avt_mv_um,sigma_vth_mv,temperature_c,vdd_v,process_corner,dvth_intended_mv,dvth_effective_mv,aging_mechanism,stress_time_years,application,category_label,ground_truth_label,tattoo_bit,bit_position,i_ref_na,i_target_na,leakage_ratio,raw_diff_na,meas_noise_applied,meas_noise_rel_std,n_reads_averaged,split
p4_0,p4_fresh_0,mc_phase4_nested.py,phase4.2,2026-07-27,1.0,real_bsim_ptm,simulated,False,3.2,0.045,4,4.5,11.86,27.0,,,0.0,0.0,natural_nbti,,counterfeit_detection,fresh,fresh,,,,,0.8813278033308922,,False,,1,
p4_1,p4_fresh_1,mc_phase4_nested.py,phase4.2,2026-07-27,1.0,real_bsim_ptm,simulated,False,3.2,0.045,4,4.5,11.86,27.0,,,0.0,0.0,natural_nbti,,counterfeit_detection,fresh,fresh,,,,,1.0597129700164216,,False,,1,
p4_2,p4_fresh_2,mc_phase4_nested.py,phase4.2,2026-07-27,1.0,real_bsim_ptm,simulated,False,3.2,0.045,4,4.5,11.86,27.0,,,0.0,0.0,natural_nbti,,counterfeit_detection,fresh,fresh,,,,,1.2960241489809723,,False,,1,
p4_3,p4_fresh_3,mc_phase4_nested.py,phase4.2,2026-07-27,1.0,real_bsim_ptm,simulated,False,3.2,0.045,4,4.5,11.86,27.0,,,0.0,0.0,natural_nbti,,counterfeit_detection,fresh,fresh,,,,,1.4827616635698107,,False,,1,
p4_4,p4_fresh_4,mc_phase4_nested.py,phase4.2,2026-07-27,1.0,real_bsim_ptm,simulated,False,3.2,0.045,4,4.5,11.86,27.0,,,0.0,0.0,natural_nbti,,counterfeit_detection,fresh,fresh,,,,,1.098349564699279,,False,,1,
p4_5,p4_fresh_5,mc_phase4_nested.py,phase4.2,2026-07-27,1.0,real_bsim_ptm,simulated,False,3.2,0.045,4,4.5,11.86,27.0,,,0.0,0.0,natural_nbti,,counterfeit_detection,fresh,fresh,,,,,0.948389712708892,,False,,1,
p4_6,p4_fresh_6,mc_phase4_nested.py,phase4.2,2026-07-27,1.0,real_bsim_ptm,simulated,False,3.2,0.045,4,4.5,11.86,27.0,,,0.0,0.0,natural_nbti,,counterfeit_detection,fresh,fresh,,,,,1.1613415121249018,,False,,1,
p4_7,p4_fresh_7,mc_phase4_nested.py,phase4.2,2026-07-27,1.0,real_bsim_ptm,simulated,False,3.2,0.045,4,4.5,11.86,27.0,,,0.0,0.0,natural_nbti,,counterfeit_detection,fresh,fresh,,,,,0.7494798607021409,,False,,1,
p4_8,p4_fresh_8,mc_phase4_nested.py,phase4.2,2026-07-27,1.0,real_bsim_ptm,simulated,False,3.2,0.045,4,4.5,11.86,27.0,,,0.0,0.0,natural_nbti,,counterfeit_detection,fresh,fresh,,,,,0.9384184828813632,,False,,1,
p4_9,p4_fresh_9,mc_phase4_nested.py,phase4.2,2026-07-27,1.0,real_bsim_ptm,simulated,False,3.2,0.045,4,4.5,11.86,27.0,,,0.0,0.0,natural_nbti,,counterfeit_detection,fresh,fresh,,,,,0.896459748216756,,False,,1,
